animals,occupations,things at the beach,things in a classroom,things you rescue from a burning home,excuses for being late
0.0022751926,-0.013829196,0.0010596665,0.0020633978,0.043753594,0.046941213
0.0277915,-0.02179164,0.019624528,-0.00094174786,-0.040167395,-0.010981954
0.030104768,-0.090352625,0.019956723,0.018468825,-0.007571199,-0.016671546
-0.017853178,-0.015013245,0.053273764,0.020547822,0.035491474,-0.03316235
0.013100218,0.03588608,0.037940234,0.00019949567,-0.0386292,-0.00850924
-0.07095636,-0.006548456,-0.078990735,-0.033815183,-0.07404063,0.057582755
-0.005396177,0.009669422,0.032244373,0.03487325,-0.06942266,-0.027242592
-0.07037249,-0.017279733,0.08580292,-0.040828906,0.09665013,0.03398474
0.042538557,0.059043135,-0.001614924,0.009093092,-0.051625613,-0.026190272
-0.082138054,-0.08279679,-0.07195295,-0.04111624,-0.0817669,-0.037583437
0.008481036,-0.004727468,-0.043306135,0.034908645,0.0625639,-0.01665773
-0.06170188,-0.06717965,-0.005408537,-0.050884657,-0.06594838,-0.012460486
0.04458802,-0.015481355,-0.0032769816,0.037448905,0.01991294,0.043865718
0.026103664,0.03052024,-0.017588515,0.008974836,0.022453671,0.0739049
0.06907708,0.035953898,0.05791338,0.054067172,0.027652448,0.008424699
0.03236409,0.04810601,-0.019885011,0.017545253,0.00794501,-0.050964013
-0.0054715974,-0.06770027,-0.006684119,-0.07124048,0.039488386,-0.017279984
0.05504442,0.01764472,-0.041518535,-0.030927638,0.064415,0.03766393
-0.054389067,-0.06329612,-0.017819857,0.0013685632,0.020120915,0.006873221
-0.011621474,0.0052886857,-0.02989909,-0.03427617,-0.0125979185,-0.018475294
0.04970933,0.030044219,0.047680102,0.063289374,-0.012327203,0.047267046
-0.01648199,-0.023680836,-0.03258641,-0.042850092,-0.05189385,-0.009500647
-0.05625831,0.0800521,-0.038306028,0.10537723,-0.06528718,0.012824834
-0.0132729765,-0.0043664523,-0.041822597,-0.04073498,0.025016805,-0.042813394
-0.07778958,-0.06621528,-0.04955058,0.014269704,0.055308126,0.0551258
0.074856795,-0.009986751,-0.033152327,-0.033719875,-0.03165729,-0.054825593
0.06067239,-0.0767781,0.044030093,0.003923122,0.0013536335,0.002407599
0.011146897,0.038377386,0.0103825405,0.07973374,-0.032138135,-0.020741422
-0.042918015,-0.0064256834,-0.016998354,-0.07812442,-0.01842501,-0.0052148476
-0.0588501,-0.035655107,-0.019790724,-0.0013364911,-0.052889008,-0.064875856
-0.06765242,-0.08417579,-0.01595924,-0.014596729,-0.04468763,-0.030770065
0.014389076,-0.084636025,0.018712431,-0.016911743,0.06541938,-0.05112739
0.024250353,-0.03215779,-0.015292616,-0.047294747,0.043858726,-0.051049117
0.08466256,-0.022101136,0.023644777,0.05285823,0.0068706027,-0.05098493
-0.055240612,-0.0033292486,-0.07379414,-0.042684663,0.011665478,-0.06869409
-0.0711608,-0.07297086,-0.010538473,-0.04534895,0.023381874,-0.039308142
0.04274722,-0.0057761255,-0.030439375,-0.0043585813,-0.01771749,0.057894517
-0.016831491,-0.03862352,-0.008602637,0.047510266,-0.099565595,-0.035369933
0.056748927,0.027614897,0.042587932,0.04317729,0.025256943,-0.07921782
-0.00047012058,0.05262475,-0.032451965,0.0014578537,-0.052929014,-0.039419197
0.016034205,0.0076075355,0.038857374,0.018352091,0.011057266,-0.045628987
0.015049718,0.047191624,0.084815726,0.08947255,0.033390056,0.06003808
0.06958303,0.035070304,0.073766395,0.06923722,0.03221783,-0.0031861898
-0.0014830646,0.04631181,-0.02147346,-0.015289248,0.009826093,-0.060269978
-0.004785008,0.024890915,-0.08685521,-0.008255788,-0.04988649,0.07772046
0.03166563,0.058449723,-0.020803768,-0.02220336,-0.043575,0.013915268
