subject	dataset	total_responses	total_unique_responses	repeats	mean_overall_semantic_sim	mean_overall_phonetic_sim	mean_frequency	mean_cluster_semantic_sim_troyerF	mean_switch_semantic_sim_troyerF	mean_cluster_phon_sim_troyerF	mean_switch_phon_sim_troyerF	pc_switches_troyerF	switch_count_troyerF	mean_cluster_size_with_singletons_troyerF	pc_clustered_responses_no_singletons_by_total_troyerF	mean_cluster_semantic_sim_delta	mean_switch_semantic_sim_delta	mean_cluster_phon_sim_delta	mean_switch_phon_sim_delta	pc_switches_delta	switch_count_delta	mean_cluster_size_with_singletons_delta	pc_clustered_responses_no_singletons_by_total_delta
55	subject_switch_lexical_results_v1	37	37	0	0.446603	0.084622	3.736757	0.511984	0.355071	0.060319	0.118647	41.666667	15	2.312500	83.333333	0.469617	0.377563	0.065756	0.141222	25.000000	9	3.700000	94.444444
56	subject_switch_lexical_results_v1	19	18	1	0.402592	0.071828	3.811579	0.451893	0.303988	0.072983	0.069517	33.333333	6	2.714286	88.888889	0.440847	0.268699	0.074471	0.062575	22.222222	4	3.800000	100.000000
57	subject_switch_lexical_results_v1	16	16	0	0.401216	0.082287	3.981875	0.468468	0.324356	0.056325	0.111957	46.666667	7	2.000000	73.333333	0.429990	0.322086	0.074309	0.104225	26.666667	4	3.200000	100.000000
60	subject_switch_lexical_results_v1	23	23	0	0.416636	0.022809	3.698261	0.531373	0.337202	0.027856	0.019315	59.090909	13	1.642857	72.727273	0.460661	0.299234	0.015712	0.041733	27.272727	6	3.285714	100.000000
61	subject_switch_lexical_results_v1	11	11	0	0.450830	0.087930	3.759091	0.545062	0.388010	0.050075	0.113167	60.000000	6	1.571429	80.000000	0.525479	0.376182	0.125780	0.050080	50.000000	5	1.833333	80.000000
62	subject_switch_lexical_results_v1	18	18	0	0.455119	0.093259	3.700000	0.496495	0.418341	0.092762	0.093700	52.941176	9	1.800000	70.588235	0.500097	0.372660	0.096373	0.087550	35.294118	6	2.571429	100.000000
63	subject_switch_lexical_results_v1	26	25	1	0.444719	0.076024	3.708846	0.487007	0.369540	0.092706	0.046367	36.000000	9	2.600000	92.000000	0.498639	0.330139	0.087259	0.052150	32.000000	8	2.888889	96.000000
64	subject_switch_lexical_results_v1	23	23	0	0.424453	0.068255	3.986522	0.472345	0.376561	0.037964	0.098545	50.000000	11	1.916667	77.272727	0.434094	0.381068	0.064889	0.083400	18.181818	4	4.600000	95.454545
65	subject_switch_lexical_results_v1	28	27	1	0.466577	0.097511	3.757500	0.537146	0.390580	0.078300	0.118200	48.148148	13	2.000000	74.074074	0.500793	0.368817	0.119110	0.035800	25.925926	7	3.500000	96.296296
66	subject_switch_lexical_results_v1	23	23	0	0.448406	0.082318	3.720000	0.484644	0.396061	0.052731	0.125056	40.909091	9	2.300000	90.909091	0.483051	0.356020	0.058487	0.145867	27.272727	6	3.285714	100.000000
67	subject_switch_lexical_results_v1	17	17	0	0.421649	0.020925	4.281176	0.557339	0.359971	0.000100	0.030391	68.750000	11	1.416667	56.250000	0.486329	0.338489	0.000100	0.047700	43.750000	7	2.125000	81.250000
68	subject_switch_lexical_results_v1	22	22	0	0.438759	0.041467	3.887727	0.469894	0.388165	0.054108	0.020925	38.095238	8	2.444444	85.714286	0.468256	0.399430	0.060592	0.015967	42.857143	9	2.200000	76.190476
69	subject_switch_lexical_results_v1	18	18	0	0.417763	0.055959	4.052778	0.491143	0.352537	0.025088	0.083400	52.941176	9	1.800000	76.470588	0.462682	0.309957	0.037583	0.100060	29.411765	5	3.000000	94.117647
70	subject_switch_lexical_results_v1	18	18	0	0.427704	0.057500	3.860000	0.503476	0.374664	0.059600	0.056030	58.823529	10	1.636364	76.470588	0.482515	0.327217	0.053109	0.065550	35.294118	6	2.571429	94.117647
71	subject_switch_lexical_results_v1	24	24	0	0.451632	0.036552	3.811667	0.510686	0.340904	0.030087	0.048675	34.782609	8	2.666667	82.608696	0.496052	0.350099	0.035150	0.039757	30.434783	7	3.000000	95.652174
72	subject_switch_lexical_results_v1	18	18	0	0.428070	0.044406	3.952222	0.490636	0.357683	0.054044	0.033562	47.058824	8	2.000000	76.470588	0.484984	0.346764	0.061140	0.020500	41.176471	7	2.250000	100.000000
73	subject_switch_lexical_results_v1	21	21	0	0.444021	0.059655	3.931429	0.524541	0.363501	0.070070	0.049240	50.000000	10	1.909091	85.000000	0.483069	0.326877	0.057853	0.065060	25.000000	5	3.500000	100.000000
74	subject_switch_lexical_results_v1	26	26	0	0.391431	0.093108	3.638846	0.458440	0.353739	0.138144	0.067775	64.000000	16	1.529412	60.000000	0.421779	0.313396	0.085911	0.111614	28.000000	7	3.250000	100.000000
76	subject_switch_lexical_results_v1	18	18	0	0.417067	0.029500	3.890000	0.464914	0.348715	0.050080	0.000100	41.176471	7	2.250000	88.235294	0.484088	0.256218	0.041750	0.000100	29.411765	5	3.000000	88.235294
77	subject_switch_lexical_results_v1	20	20	0	0.373247	0.054668	3.678000	0.501261	0.314164	0.102833	0.032438	68.421053	13	1.428571	42.105263	0.419819	0.272342	0.079854	0.000100	31.578947	6	2.857143	89.473684
78	subject_switch_lexical_results_v1	17	16	1	0.453411	0.141719	3.928235	0.514456	0.392366	0.097975	0.185463	50.000000	8	1.888889	68.750000	0.478834	0.377143	0.147275	0.125050	25.000000	4	3.400000	100.000000
79	subject_switch_lexical_results_v1	25	25	0	0.410254	0.091912	3.818400	0.480638	0.381273	0.120814	0.080012	70.833333	17	1.388889	50.000000	0.434089	0.352369	0.096241	0.081400	29.166667	7	3.125000	95.833333
80	subject_switch_lexical_results_v1	17	17	0	0.409399	0.065400	3.960588	0.482424	0.352601	0.069457	0.062244	56.250000	9	1.700000	75.000000	0.427563	0.354905	0.073283	0.041750	25.000000	4	3.400000	93.750000
81	subject_switch_lexical_results_v1	22	20	2	0.425841	0.092633	3.835455	0.469669	0.367403	0.084883	0.102967	42.857143	9	2.200000	80.952381	0.451261	0.273321	0.101117	0.041733	14.285714	3	5.500000	104.761905
82	subject_switch_lexical_results_v1	19	19	0	0.439355	0.058144	3.793158	0.514389	0.321445	0.079936	0.023900	38.888889	7	2.375000	88.888889	0.529682	0.326446	0.087920	0.020925	44.444444	8	2.111111	100.000000
83	subject_switch_lexical_results_v1	15	15	0	0.365093	0.072857	3.756667	0.465219	0.337786	0.000100	0.092700	78.571429	11	1.250000	42.857143	0.382646	0.300735	0.064573	0.103233	21.428571	3	3.750000	100.000000
84	subject_switch_lexical_results_v1	26	26	0	0.428232	0.058456	3.825385	0.492783	0.385198	0.129330	0.011207	60.000000	15	1.625000	68.000000	0.443155	0.256618	0.063530	0.000100	8.000000	2	8.666667	104.000000
85	subject_switch_lexical_results_v1	25	25	0	0.392595	0.066008	3.939600	0.453188	0.349314	0.096650	0.044121	58.333333	14	1.666667	66.666667	0.426355	0.291313	0.082933	0.015233	25.000000	6	3.571429	95.833333
86	subject_switch_lexical_results_v1	29	29	0	0.431717	0.157596	3.036552	0.463977	0.351066	0.163700	0.142338	28.571429	8	3.222222	89.285714	0.457023	0.315307	0.148730	0.198380	17.857143	5	4.833333	100.000000
87	subject_switch_lexical_results_v1	28	27	1	0.410918	0.091156	3.815357	0.495506	0.343247	0.091825	0.090620	55.555556	15	1.750000	59.259259	0.449991	0.354084	0.102744	0.074300	40.740741	11	2.333333	88.888889
88	subject_switch_lexical_results_v1	27	27	0	0.434391	0.044946	3.918889	0.519891	0.348890	0.032131	0.057762	50.000000	13	1.928571	73.076923	0.470217	0.314970	0.027165	0.104217	23.076923	6	3.857143	96.153846
