Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
12.0,,,,,,,,delta_rise=0.75_fall=0.0,16,1.25,0.5590169943749475
12.0,,,,,,,,delta_rise=0.75_fall=0.25,14,1.4285714285714286,0.9035079029052514
12.0,,,,,,,,delta_rise=0.75_fall=0.5,14,1.4285714285714286,0.9035079029052514
12.0,,,,,,,,delta_rise=0.75_fall=0.75,14,1.4285714285714286,0.9035079029052514
12.0,,,,,,,,delta_rise=0.75_fall=1.0,14,1.4285714285714286,0.9035079029052514
12.0,,,,,,,,delta_rise=1.0_fall=0.0,16,1.25,0.5590169943749475
12.0,,,,,,,,delta_rise=1.0_fall=0.25,14,1.4285714285714286,0.9035079029052514
12.0,,,,,,,,delta_rise=1.0_fall=0.5,14,1.4285714285714286,0.9035079029052514
12.0,,,,,,,,delta_rise=1.0_fall=0.75,14,1.4285714285714286,0.9035079029052514
12.0,,,,,,,,delta_rise=1.0_fall=1.0,14,1.4285714285714286,0.9035079029052514
12.0,,,,,,,,multimodal_alpha=0.0,3,5.0,2.5495097567963922
12.0,,,,,,,,multimodal_alpha=0.1,5,3.3333333333333335,1.699673171197595
12.0,,,,,,,,multimodal_alpha=0.2,5,3.3333333333333335,1.699673171197595
12.0,,,,,,,,multimodal_alpha=0.30000000000000004,5,3.3333333333333335,1.699673171197595
12.0,,,,,,,,multimodal_alpha=0.4,5,3.3333333333333335,1.699673171197595
12.0,,,,,,,,multimodal_alpha=0.5,5,3.3333333333333335,1.699673171197595
12.0,,,,,,,,multimodal_alpha=0.6000000000000001,5,3.3333333333333335,1.699673171197595
12.0,,,,,,,,multimodal_alpha=0.7000000000000001,4,4.0,2.8284271247461903
12.0,,,,,,,,multimodal_alpha=0.8,4,4.0,2.756809750418044
12.0,,,,,,,,multimodal_alpha=0.9,3,5.0,2.345207879911715
12.0,,,,,,,,multimodal_alpha=1.0,5,3.3333333333333335,2.134374745810949
12.0,,,,,,,,norms_associative,17,1.1764705882352942,0.3812200410828153
12.0,,,,,,,,norms_categorical,17,1.1764705882352942,0.3812200410828153
12.0,,,,,,,,simdrop,5,3.3333333333333335,2.134374745810949
15.0,0.4068883743579056,0.07421073379107328,6.456426416692026,0.6820013896574837,0.225,0.03535533905932737,23.0,delta_rise=0.0_fall=0.0,12,1.9166666666666667,0.8620067027323834
15.0,,,,,,,,delta_rise=0.0_fall=0.25,12,1.9166666666666667,0.8620067027323834
15.0,,,,,,,,delta_rise=0.0_fall=0.5,12,1.9166666666666667,0.8620067027323834
15.0,,,,,,,,delta_rise=0.0_fall=0.75,9,2.5555555555555554,2.006163342807532
15.0,,,,,,,,delta_rise=0.0_fall=1.0,7,2.875,2.027159342528357
15.0,,,,,,,,delta_rise=0.25_fall=0.0,12,1.9166666666666667,0.8620067027323834
15.0,,,,,,,,delta_rise=0.25_fall=0.25,12,1.9166666666666667,0.8620067027323834
15.0,,,,,,,,delta_rise=0.25_fall=0.5,12,1.9166666666666667,0.8620067027323834
15.0,,,,,,,,delta_rise=0.25_fall=0.75,9,2.5555555555555554,2.006163342807532
15.0,,,,,,,,delta_rise=0.25_fall=1.0,7,2.875,2.027159342528357
15.0,,,,,,,,delta_rise=0.5_fall=0.0,14,1.6428571428571428,0.8112726208286106
15.0,,,,,,,,delta_rise=0.5_fall=0.25,14,1.6428571428571428,0.8112726208286106
15.0,,,,,,,,delta_rise=0.5_fall=0.5,14,1.6428571428571428,0.8112726208286106
15.0,,,,,,,,delta_rise=0.5_fall=0.75,10,2.3,2.0024984394500787
15.0,,,,,,,,delta_rise=0.5_fall=1.0,8,2.5555555555555554,2.0608041101101566
15.0,,,,,,,,delta_rise=0.75_fall=0.0,16,1.4375,0.7043392293490403
15.0,,,,,,,,delta_rise=0.75_fall=0.25,16,1.4375,0.7043392293490403
