"Participant","Cluster","Items","total_items","cum_items","perc_items"
"873",6,1,17,12,0.705882352941177
"873",7,1,17,13,0.764705882352941
"873",8,2,17,15,0.88235294117647
"873",9,2,17,17,1
"874",1,2,26,2,0.0769230769230769
"874",2,5,26,7,0.269230769230769
"874",3,2,26,9,0.346153846153846
"874",4,2,26,11,0.423076923076923
"874",5,5,26,16,0.615384615384615
"874",6,3,26,19,0.730769230769231
"874",7,1,26,20,0.769230769230769
"874",8,1,26,21,0.807692307692308
"874",9,1,26,22,0.846153846153846
"874",10,3,26,25,0.961538461538462
"874",11,1,26,26,1
"876",1,2,17,2,0.117647058823529
"876",2,1,17,3,0.176470588235294
"876",3,2,17,5,0.294117647058824
"876",4,3,17,8,0.470588235294118
"876",5,2,17,10,0.588235294117647
"876",6,3,17,13,0.764705882352941
"876",7,1,17,14,0.823529411764706
"876",8,2,17,16,0.941176470588235
"876",9,1,17,17,1
"877",1,2,28,2,0.0714285714285714
"877",2,1,28,3,0.107142857142857
"877",3,2,28,5,0.178571428571429
"877",4,3,28,8,0.285714285714286
"877",5,1,28,9,0.321428571428571
"877",6,1,28,10,0.357142857142857
"877",7,2,28,12,0.428571428571429
"877",8,3,28,15,0.535714285714286
"877",9,1,28,16,0.571428571428571
"877",10,1,28,17,0.607142857142857
"877",11,5,28,22,0.785714285714286
"877",12,1,28,23,0.821428571428571
"877",13,4,28,27,0.964285714285714
"877",14,1,28,28,1
"878",1,1,24,1,0.0416666666666667
"878",2,1,24,2,0.0833333333333333
"878",3,2,24,4,0.166666666666667
"878",4,1,24,5,0.208333333333333
"878",5,4,24,9,0.375
"878",6,3,24,12,0.5
"878",7,1,24,13,0.541666666666667
"878",8,6,24,19,0.791666666666667
"878",9,2,24,21,0.875
"878",10,2,24,23,0.958333333333333
"878",11,1,24,24,1
